,title,title_split,temp,temp_level,temp_title,temp_score
160,group head compliance monitoring,group head compliance monitoring,"(department head, compliance, 71)",department head,compliance,71
161,group compliance monitoring,group compliance monitoring,"(nan, compliance, 60)",,compliance,60
162,deputy chief executive officer,deputy chief executive officer,"(c-level, nan, 65)",c-level,,65
163,solvency ii project manager ,solvency ii project manager,"(manager, solvency ii, 73)",manager,solvency ii,73
164,internal auditor,internal auditor,"(nan, nan, 50)",,,50
165,chief information security officer,chief information security officer,"(individual contributer, chief information security officer, 65)",individual contributer,chief information security officer,65
166,"chief technical officer, critical advisor",chief technical officer critical advisor,"(c-level, nan, 65)",c-level,,65
167,head of information security and quality,head of information security and quality,"(department head, information, 68)",department head,information,68
168,information security officer - vp,information security officer vp,"(vp, information, 70)",vp,information,70
169,head of legal & compliance,head of legal compliance,"(department head, compliance, 71)",department head,compliance,71
170,cio,chief information officer,"(individual contributer, chief information officer, 70)",individual contributer,chief information officer,70
171,head of aml & sanctions,head of aml sanctions,"(department head, nan, 61)",department head,,61
172,legal & compliance manager,legal compliance manager,"(manager, compliance, 68)",manager,compliance,68
173,regulatory compliance supervisor - compliance specialist,regulatory compliance supervisor compliance specialist,"(individual contributer, compliance, 63)",individual contributer,compliance,63
174,information risk management - eu,information risk management eu,"(individual contributer, risk management, 60)",individual contributer,risk management,60
